lon,lat,mask
-127.67,20.79,0
-126.91,20.96,0
-126.15,21.13,0
-125.39,21.29,0
-124.63,21.45,0
-123.86,21.61,0
-123.09,21.76,0
-122.32,21.91,0
-121.55,22.05,0
-120.78,22.19,0
-120.00,22.33,0
-119.23,22.46,0
-118.45,22.59,0
-117.67,22.71,0
-116.89,22.83,0
-116.10,22.94,0
-115.32,23.06,0
-114.53,23.16,0
-113.75,23.27,0
-112.96,23.36,0
-112.17,23.46,0
-111.38,23.55,0
-110.59,23.63,0
-109.79,23.72,0
-109.00,23.79,0
-108.21,23.87,0
-107.41,23.94,0
-106.61,24.00,0
-105.82,24.06,0
-105.02,24.12,0
-104.22,24.17,0
-103.42,24.22,0
-102.62,24.26,0
-101.82,24.30,0
-101.02,24.33,0
-100.22,24.36,0
-99.41,24.39,0
-98.61,24.41,0
-97.81,24.43,0
-97.01,24.44,0
-96.20,24.45,0
-95.40,24.45,0
-94.60,24.45,0
-93.80,24.45,0
-92.99,24.44,0
-92.19,24.43,0
-91.39,24.41,0
-90.59,24.39,0
-89.78,24.36,0
-88.98,24.33,0
-88.18,24.30,0
-87.38,24.26,0
-86.58,24.22,0
-85.78,24.17,0
-84.98,24.12,0
-84.19,24.06,0
-83.39,24.00,0
-82.59,23.94,0
-81.80,23.87,0
-81.00,23.79,0
-80.21,23.72,0
-79.41,23.63,0
-78.62,23.55,0
-77.83,23.46,0
-77.04,23.36,0
-76.25,23.27,0
-75.47,23.16,0
-74.68,23.06,0
-73.90,22.94,0
-73.11,22.83,0
-72.33,22.71,0
-71.55,22.59,0
-70.78,22.46,0
-70.00,22.33,0
-69.22,22.19,0
-68.45,22.05,0
-67.68,21.91,0
-66.91,21.76,0
-66.14,21.61,0
-65.37,21.45,0
-64.61,21.29,0
-63.85,21.13,0
-135.36,19.55,0
-134.62,19.76,0
-133.88,19.97,0
-133.13,20.17,0
-132.39,20.37,0
-131.64,20.57,0
-130.89,20.76,0
-130.13,20.95,0
-129.38,21.14,0
-128.62,21.32,0
-127.86,21.49,0
-127.10,21.67,0
-126.33,21.84,0
-125.57,22.00,0
-124.80,22.16,0
-124.03,22.32,0
-123.26,22.47,0
